,oldMonth,tmean_f,Month,Temp
0,January,71.18664968679617,February,71.00243439850983
1,February,71.00243439850983,March,71.68874353479457
2,March,71.68874353479457,April,73.19644451376833
3,April,73.19644451376833,May,74.61122082368827
4,May,74.61122082368827,June,76.43679372528453
5,June,76.43679372528453,July,77.4898328239535
6,July,77.4898328239535,August,78.2537560733748
7,August,78.2537560733748,September,78.03966539171007
8,September,78.03966539171007,October,77.04370674792631
9,October,77.04370674792631,November,74.86024637104553
10,November,74.86024637104553,December,72.64343653549383
11,December,72.64343653549383,January,71.18664968679617
