oldMonth,RF_in,Month,RF
January,4.268389839916534,May,1.47022643952403
February,2.9019664849732627,June,0.7177929427898716
March,3.3360200024763693,July,0.6329630778124203
April,1.8818510715802916,August,0.9590585490253541
May,1.47022643952403,September,1.2443178196824078
June,0.7177929427898716,October,2.490169859639428
July,0.6329630778124203,November,2.8292868899920727
August,0.9590585490253541,December,4.103042321354248
September,1.2443178196824078,January,4.268389839916534
October,2.490169859639428,February,2.9019664849732627
November,2.8292868899920727,March,3.3360200024763693
December,4.103042321354248,April,1.8818510715802916
