Year,Month,Day,RF_in
2026,3,31,0.0048922773954343
2026,4,1,0.0020488543587847
2026,4,2,0.0203155843164223
2026,4,3,0.0
2026,4,4,0.0010898720016397
2026,4,5,0.0010618787355553
2026,4,6,0.0003264161429577
2026,4,7,0.1880243997990106
2026,4,8,0.1042054848361782
2026,4,9,0.1464770919578792
2026,4,10,3.329811604224385
2026,4,11,0.0142725700422175
2026,4,12,0.5009981831969355
2026,4,13,0.2770925784952336
2026,4,14,5.049929852079834e-06
2026,4,15,0.0004394254949126
2026,4,16,5.798453279147404e-05
2026,4,17,0.0008576047470331
2026,4,18,0.011616396558659
2026,4,19,0.0
2026,4,20,0.0047232359111789
2026,4,21,0.00035487838930345274
