Year,Month,Day,RF_in
2025,10,1,0.148398791595278
2025,10,2,6.580524870104051e-05
2025,10,3,0.0428447202376748
2025,10,4,0.0045577168198128
2025,10,5,0.0441857122223057
2025,10,6,0.6350714237705964
2025,10,7,0.2056169366192236
2025,10,8,0.0916855126877179
2025,10,9,0.0001708296235986
2025,10,10,2.2740953961225947e-06
2025,10,11,0.011573550280948
2025,10,12,6.898346778845154e-05
2025,10,13,0.0418638309283333
2025,10,14,0.0
2025,10,15,0.0185151210016187
2025,10,16,0.0261023766076447
2025,10,17,0.1062763014235579
2025,10,18,0.4845693904757673
2025,10,19,0.0657919988208532
2025,10,20,0.0183879403223434
2025,10,21,0.7761049979836505
