oldMonth,RF_in,Month,RF
January,10.87765768037023,May,5.335728564710068
February,8.167847101778724,June,4.76302040860349
March,11.138630744173152,July,4.4633209332011345
April,7.538882848709302,August,4.533177431643151
May,5.335728564710068,September,4.801806041055128
June,4.76302040860349,October,4.665972955071514
July,4.4633209332011345,November,8.344168048352927
August,4.533177431643151,December,9.352098151501567
September,4.801806041055128,January,10.87765768037023
October,4.665972955071514,February,8.167847101778724
November,8.344168048352927,March,11.138630744173152
December,9.352098151501567,April,7.538882848709302
