,oldMonth,OldTemp,Month,Temp
0,January,61.77343927709174,April,62.59766122656257
1,February,61.14005303636616,May,64.21839722156608
2,March,61.4537607491339,June,65.89347234777944
3,April,62.59766122656257,July,67.02385657166346
4,May,64.21839722156608,August,67.61200921798994
5,June,65.89347234777944,September,66.88859319074592
6,July,67.02385657166346,October,66.37558629316875
7,August,67.61200921798994,November,64.77353208535459
8,September,66.88859319074592,December,62.909488567701736
9,October,66.37558629316875,January,61.77343927709174
10,November,64.77353208535459,February,61.14005303636616
11,December,62.909488567701736,March,61.4537607491339
