oldMonth,oldNDVI,Month,NDVI
January,0.5952417943507065,November,0.564984440744659
February,0.5795901988465109,December,0.593779455114294
March,0.5457352767755956,January,0.5952417943507065
April,0.5269787128155048,February,0.5795901988465109
May,0.5375506807709465,March,0.5457352767755956
June,0.5706612160402825,April,0.5269787128155048
July,0.5986715545002211,May,0.5375506807709465
August,0.5598948053937804,June,0.5706612160402825
September,0.5862186509772697,July,0.5986715545002211
October,0.5482350591241125,August,0.5598948053937804
November,0.564984440744659,September,0.5862186509772697
December,0.593779455114294,October,0.5482350591241125
